WallIDX	Tgt	Prj	Chrg	Value
19	al	d	1	0.0118771
19	al	n	0	0.00226889
19	al	n	1	0.0634345
19	al	n	2	0.172495
19	al	n	3	0.303061
19	al	w	0	-2.50216e-26
19	al	w	1	0.00315693
19	al	w	2	0.01776
19	al	w	3	0.0567464
19	n	al	0	0.00408
19	n	al	1	0.0467455
19	n	al	2	0.109781
19	n	al	3	0.175605
19	n	d	0	0.00122867
19	n	d	1	0.0126994
19	n	n	0	0.00571656
19	n	n	1	0.0551347
19	n	n	2	0.122673
19	n	n	3	0.188042
19	n	w	0	3.20442e-06
19	n	w	1	0.00244814
19	n	w	2	0.0116937
19	n	w	3	0.0325028
19	w	al	0	0
19	w	al	1	-1.96937e-31
19	w	al	2	-2.85742e-30
19	w	al	3	-1.90313e-29
19	w	d	0	0
19	w	d	1	6.53679e-26
19	w	n	0	0
19	w	n	1	-6.63708e-32
19	w	n	2	-1.66271e-30
19	w	n	3	-1.13238e-29
19	w	w	0	0
19	w	w	1	-2.08679e-30
19	w	w	2	-1.37263e-29
19	w	w	3	-5.67242e-29
20	al	al	0	0.00265464
20	al	al	1	0.0722523
20	al	al	2	0.191477
20	al	al	3	0.32887
20	al	d	0	4.21537e-05
20	al	d	1	0.0144019
20	al	n	0	0.0026152
20	al	n	1	0.0761061
20	al	n	2	0.201954
20	al	n	3	0.342537
20	al	w	0	-1.03493e-25
20	al	w	1	0.00379503
20	al	w	2	0.0237628
20	al	w	3	0.0696034
20	n	al	0	0.00478673
20	n	al	1	0.0562881
20	n	al	2	0.127495
20	n	al	3	0.198713
20	n	d	0	0.00144811
20	n	d	1	0.015278
20	n	n	0	0.00673197
20	n	n	1	0.0661486
20	n	n	2	0.140911
20	n	n	3	0.211006
20	n	w	0	3.73496e-06
20	n	w	1	0.00300403
20	n	w	2	0.015489
20	n	w	3	0.0400147
20	w	al	0	0
20	w	al	1	-8.59467e-31
20	w	al	2	-1.63729e-29
20	w	al	3	-8.93828e-29
20	w	d	0	0
20	w	d	1	1.31505e-25
20	w	n	0	0
20	w	n	1	-2.95238e-31
20	w	n	2	-9.69113e-30
20	w	n	3	-5.31333e-29
20	w	w	0	0
