WallIDX	Prj	Chrg	Value
80	al	1	0.0837218
80	al	2	0.163965
80	al	3	0.198176
80	n	0	0.102397
80	n	1	0.288215
80	n	2	0.377438
80	n	3	0.36949
80	w	0	0
80	w	1	7.17776e-25
80	w	2	5.33469e-24
80	w	3	1.61908e-23
81	al	0	0.0054337
81	al	1	0.0939569
81	al	2	0.174435
81	al	3	0.202849
81	n	0	0.111712
81	n	1	0.308265
81	n	2	0.379603
81	n	3	0.365557
81	w	0	0
81	w	1	5.78084e-25
81	w	2	4.60016e-24
81	w	3	1.32464e-23
82	al	0	0.00537789
82	al	1	0.0991388
82	al	2	0.178951
82	al	3	0.20616
82	n	0	0.111444
82	n	1	0.318554
82	n	2	0.378525
82	n	3	0.361638
82	w	0	0
82	w	1	9.86461e-26
82	w	2	8.61498e-25
82	w	3	2.35106e-24
83	al	0	0.00520344
83	al	1	0.0945266
83	al	2	0.176808
83	al	3	0.2042
83	n	0	0.107368
83	n	1	0.309416
83	n	2	0.379762
83	n	3	0.363856
83	w	0	0
83	w	1	1.29289e-24
83	w	2	1.06478e-23
83	w	3	3.06895e-23
84	al	0	0.00450931
84	al	1	0.074795
84	al	2	0.155423
84	al	3	0.194301
84	n	0	0.0923205
84	n	1	0.270755
84	n	2	0.375215
84	n	3	0.371889
84	w	0	0
84	w	1	1.29696e-26
84	w	2	9.04935e-26
84	w	3	2.92549e-25
85	al	0	0.00252388
85	al	1	0.182045
85	al	2	0.180354
85	al	3	0.158014
85	n	0	0.0634319
85	n	1	0.34022
85	n	2	0.284837
85	n	3	0.245006
85	w	0	0
85	w	1	1.25966e-24
85	w	2	4.32472e-24
85	w	3	4.90526e-07
86	al	0	0.0019852
86	al	1	0.182282
86	al	2	0.150408
86	al	3	0.127575
86	n	0	0.0519817
86	n	1	0.299451
86	n	2	0.235709
86	n	3	0.205233
86	w	0	0
86	w	1	2.41706e-23
86	w	2	9.86087e-07
86	w	3	5.36642e-06
87	al	0	0.00303401
87	al	1	0.0513314
87	al	2	0.132727
87	al	3	0.182823
87	n	0	0.0632928
87	n	1	0.223993
87	n	2	0.366689
87	n	3	0.374562
87	w	0	0
87	w	1	8.2205e-26
87	w	2	4.33416e-25
87	w	3	1.91283e-24
88	al	0	0.00410676
88	al	1	0.0355671
88	al	2	0.102212
88	al	3	0.157164
88	n	0	0.0787115
88	n	1	0.199385
88	n	2	0.323683
88	n	3	0.385882
88	w	0	0
88	w	1	1.76587e-26
88	w	2	5.98753e-26
88	w	3	2.68842e-25
89	al	0	0.00446396
89	al	1	0.0512587
89	al	2	0.126158
89	al	3	0.17857
89	n	0	0.0881756
89	n	1	0.226673
89	n	2	0.369539
89	n	3	0.386142
89	w	0	0
89	w	1	1.74947e-26
89	w	2	4.72512e-26
89	w	3	2.82871e-25
90	al	0	0.145539
90	al	1	0.387828
90	al	2	0.439068
90	al	3	0.426217
90	n	0	0.211342
90	n	1	0.492856
90	n	2	0.497164
90	n	3	0.479222
90	w	0	0
90	w	1	5.24398e-07
90	w	2	1.63227e-06
90	w	3	0.000163216
91	al	0	0.139071
91	al	1	0.355007
91	al	2	0.389242
91	al	3	0.376135
91	n	0	0.209862
91	n	1	0.444979
91	n	2	0.445873
91	n	3	0.42971
91	w	0	0
91	w	1	0
91	w	2	7.28153e-07
91	w	3	0.000184219
92	al	0	0.127773
92	al	1	0.367551
92	al	2	0.435836
92	al	3	0.42594
92	n	0	0.185779
92	n	1	0.481448
92	n	2	0.495742
92	n	3	0.478476
92	w	0	0
92	w	1	2.26394e-07
92	w	2	7.40058e-07
92	w	3	7.93029e-05
93	al	0	0.16811
93	al	1	0.467796
93	al	2	0.531836
93	al	3	0.514342
93	n	0	0.232552
93	n	1	0.588628
93	n	2	0.584275
93	n	3	0.563646
93	w	0	0
93	w	1	3.44187e-06
93	w	2	1.12511e-05
93	w	3	9.99012e-05
