VarInfo	ResiduumInfo	Residuum	Value	AbsTol
CALw77	Residuum equation #231(Solvar: CALw77)	1.33227e-15	0.602728	1e-06
CNw77	Residuum equation #232(Solvar: CNw77)	5.55112e-17	0.397272	1e-06
CWw77	Residuum equation #233(Solvar: CWw77)	-1.12847e-36	-2.35663e-21	1e-06
CALw78	Residuum equation #234(Solvar: CALw78)	7.77156e-16	0.55049	1e-06
CNw78	Residuum equation #235(Solvar: CNw78)	-8.32667e-16	0.44951	1e-06
CWw78	Residuum equation #236(Solvar: CWw78)	-3.67342e-40	-3.23901e-24	1e-06
CALw79	Residuum equation #237(Solvar: CALw79)	0	0.651256	1e-06
CNw79	Residuum equation #238(Solvar: CNw79)	-1.66533e-16	0.348744	1e-06
CWw79	Residuum equation #239(Solvar: CWw79)	-2.35099e-38	-6.41514e-23	1e-06
CALw80	Residuum equation #240(Solvar: CALw80)	0	0.705552	1e-06
CNw80	Residuum equation #241(Solvar: CNw80)	5.55112e-17	0.294448	1e-06
CWw80	Residuum equation #242(Solvar: CWw80)	5.64237e-37	5.86628e-22	1e-06
CALw81	Residuum equation #243(Solvar: CALw81)	-4.44089e-16	0.702589	1e-06
CNw81	Residuum equation #244(Solvar: CNw81)	5.55112e-17	0.297411	1e-06
CWw81	Residuum equation #245(Solvar: CWw81)	-2.82119e-37	3.41434e-22	1e-06
CALw82	Residuum equation #246(Solvar: CALw82)	-2.22045e-16	0.697166	1e-06
CNw82	Residuum equation #247(Solvar: CNw82)	3.33067e-16	0.302834	1e-06
CWw82	Residuum equation #248(Solvar: CWw82)	5.87747e-38	6.49851e-23	1e-06
CALw83	Residuum equation #249(Solvar: CALw83)	-5.55112e-16	0.700082	1e-06
CNw83	Residuum equation #250(Solvar: CNw83)	0	0.299918	1e-06
CWw83	Residuum equation #251(Solvar: CWw83)	-1.50463e-36	9.61698e-22	1e-06
CALw84	Residuum equation #252(Solvar: CALw84)	1.11022e-16	0.705502	1e-06
CNw84	Residuum equation #253(Solvar: CNw84)	0	0.294498	1e-06
CWw84	Residuum equation #254(Solvar: CWw84)	-2.49793e-38	7.63999e-24	1e-06
CALw85	Residuum equation #255(Solvar: CALw85)	-1.11022e-16	0.59132	1e-06
CNw85	Residuum equation #256(Solvar: CNw85)	1.11022e-16	0.40868	1e-06
CWw85	Residuum equation #257(Solvar: CWw85)	6.58277e-37	-7.44961e-22	1e-06
CALw86	Residuum equation #258(Solvar: CALw86)	2.22045e-16	0.561562	1e-06
CNw86	Residuum equation #259(Solvar: CNw86)	3.33067e-16	0.438438	1e-06
CWw86	Residuum equation #260(Solvar: CWw86)	0	2.73557e-22	1e-06
CALw87	Residuum equation #261(Solvar: CALw87)	2.22045e-16	0.692715	1e-06
CNw87	Residuum equation #262(Solvar: CNw87)	-4.996e-16	0.307284	1e-06
CWw87	Residuum equation #263(Solvar: CWw87)	0	1.06132e-22	1e-06
CALw88	Residuum equation #264(Solvar: CALw88)	-6.66134e-16	0.756686	1e-06
CNw88	Residuum equation #265(Solvar: CNw88)	-2.77556e-16	0.243314	1e-06
CWw88	Residuum equation #266(Solvar: CWw88)	4.70198e-38	4.13073e-23	1e-06
CALw89	Residuum equation #267(Solvar: CALw89)	1.11022e-16	0.732003	1e-06
CNw89	Residuum equation #268(Solvar: CNw89)	-5.55112e-17	0.267997	1e-06
CWw89	Residuum equation #269(Solvar: CWw89)	5.87747e-39	2.46282e-23	1e-06
CALw90	Residuum equation #270(Solvar: CALw90)	1.11022e-16	0.129616	1e-06
