WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
69	45.000	106.943	0.500	0.500	0.000	0.0468637	0.0468637
62	45.000	109.786	0.500	0.500	0.000	0.0508167	0.0508167
56	45.000	109.968	0.500	0.500	0.000	0.0510687	0.0510687
18	45.000	112.084	0.500	0.500	0.000	0.0539996	0.0539996
36	45.000	112.653	0.500	0.500	0.000	0.0547941	0.0547941
67	45.000	115.948	0.500	0.500	0.000	0.059364	0.059364
55	45.000	116.799	0.500	0.500	0.000	0.0605398	0.0605398
3	45.000	117.824	0.500	0.500	0.000	0.0619668	0.0619668
48	45.000	118.427	0.500	0.500	0.000	0.0627993	0.0627993
52	45.000	119.302	0.500	0.500	0.000	0.0640214	0.0640214
72	45.000	123.610	0.500	0.500	0.000	0.0699996	0.0699996
40	45.000	124.226	0.500	0.500	0.000	0.0708543	0.0708543
4	45.000	125.633	0.500	0.500	0.000	0.0728064	0.0728064
22	45.000	126.544	0.500	0.500	0.000	0.0740639	0.0740639
37	45.000	132.518	0.500	0.500	0.000	0.0823523	0.0823523
64	45.000	132.794	0.500	0.500	0.000	0.0827431	0.0827431
2	45.000	135.762	0.500	0.500	0.000	0.0868529	0.0868529
41	45.000	136.143	0.500	0.500	0.000	0.0873833	0.0873833
66	45.000	139.532	0.500	0.500	0.000	0.0920862	0.0920862
10	45.000	140.789	0.500	0.500	0.000	0.0938363	0.0938363
21	45.000	142.162	0.500	0.500	0.000	0.0957448	0.0957448
86	45.000	144.956	0.500	0.500	0.000	0.0996144	0.0996144
77	45.000	148.484	0.500	0.500	0.000	0.104516	0.104516
79	45.000	149.319	0.500	0.500	0.000	0.105673	0.105673
11	45.000	152.555	0.500	0.500	0.000	0.1108	0.1108
56	45.000	160.191	0.500	0.500	0.000	0.123292	0.123292
67	45.000	165.727	0.500	0.500	0.000	0.132347	0.132347
85	45.000	178.860	0.500	0.500	0.000	0.153837	0.153837
72	45.000	180.739	0.500	0.500	0.000	0.156916	0.156916
22	45.000	181.624	0.500	0.500	0.000	0.158352	0.158352
78	45.000	190.282	0.500	0.500	0.000	0.172524	0.172524
64	45.000	192.815	0.500	0.500	0.000	0.176674	0.176674
70	45.000	205.419	0.500	0.500	0.000	0.197439	0.197439
62	45.000	208.420	0.500	0.500	0.000	0.20243	0.20243
77	45.000	217.124	0.500	0.500	0.000	0.216905	0.216905
3	45.000	224.264	0.500	0.500	0.000	0.228768	0.228768
63	45.000	240.309	0.500	0.500	0.000	0.25545	0.25545
85	45.000	262.818	0.500	0.500	0.000	0.291544	0.291544
86	45.000	280.520	0.500	0.500	0.000	0.319132	0.319132
62	45.000	307.054	0.500	0.500	0.000	0.360504	0.360504
3	45.000	330.704	0.500	0.500	0.000	0.397365	0.397365
71	45.000	334.799	0.500	0.500	0.000	0.403745	0.403745
78	45.000	369.316	0.500	0.500	0.000	0.457554	0.457554
70	45.000	399.930	0.500	0.500	0.000	0.505282	0.505282
86	45.000	416.084	0.500	0.500	0.000	0.530452	0.530452
63	45.000	469.404	0.500	0.500	0.000	0.61358	0.61358
78	45.000	548.350	0.500	0.500	0.000	0.722452	0.722452
70	45.000	594.441	0.500	0.500	0.000	0.780783	0.780783
71	45.000	660.218	0.500	0.500	0.000	0.864008	0.864008
63	45.000	698.499	0.500	0.500	0.000	0.912459	0.912459
71	45.000	985.637	0.500	0.500	0.000	1.2758	1.2758
