WK	Angle	Energy	AL	N	W	RYield+Offset	RYield
77	45.000	148.484	0.603	0.397	0.000	0.30553	0.30553
79	45.000	149.319	0.651	0.349	-0.000	0.314626	0.314626
11	45.000	152.555	0.654	0.346	0.000	0.313086	0.313086
56	45.000	160.191	0.641	0.359	0.000	0.30566	0.30566
67	45.000	165.727	0.637	0.363	-0.000	0.301567	0.301567
85	45.000	178.860	0.591	0.409	-0.000	0.284837	0.284837
72	45.000	180.739	0.631	0.369	0.000	0.290979	0.290979
22	45.000	181.624	0.628	0.372	-0.000	0.289919	0.289919
78	45.000	190.282	0.550	0.450	0.000	0.26969	0.26969
64	45.000	192.815	0.619	0.381	0.000	0.281517	0.281517
70	45.000	205.419	0.552	0.448	0.000	0.26172	0.26172
62	45.000	208.420	0.580	0.420	-0.000	0.265907	0.265907
77	45.000	217.124	0.603	0.397	0.000	0.26602	0.26602
3	45.000	224.264	0.579	0.421	0.000	0.257993	0.257993
63	45.000	240.309	0.553	0.447	-0.000	0.245496	0.245496
85	45.000	262.818	0.591	0.409	-0.000	0.245006	0.245006
86	45.000	280.520	0.562	0.438	0.000	0.235709	0.235709
62	45.000	307.054	0.580	0.420	-0.000	0.233033	0.233033
3	45.000	330.704	0.579	0.421	0.000	0.227407	0.227407
71	45.000	334.799	0.541	0.459	-0.000	0.21986	0.21986
78	45.000	369.316	0.550	0.450	0.000	0.213852	0.213852
70	45.000	399.930	0.552	0.448	0.000	0.207274	0.207274
86	45.000	416.084	0.562	0.438	0.000	0.205233	0.205233
63	45.000	469.404	0.553	0.447	-0.000	0.19178	0.19178
78	45.000	548.350	0.550	0.450	0.000	0.180652	0.180652
70	45.000	594.441	0.552	0.448	0.000	0.17717	0.17717
71	45.000	660.218	0.541	0.459	-0.000	0.170055	0.170055
63	45.000	698.499	0.553	0.447	-0.000	0.168784	0.168784
71	45.000	985.637	0.541	0.459	-0.000	0.143822	0.143822
