WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
50	45.000	64.252	0.702	0.298	-0.000	0.106536	0.106536
80	45.000	64.494	0.706	0.294	-0.000	0.105857	0.105857
27	45.000	64.841	0.718	0.282	-0.000	0.102563	0.102563
19	45.000	65.018	0.698	0.302	-0.000	0.109781	0.109781
9	45.000	65.090	0.702	0.298	0.000	0.108568	0.108568
67	45.000	66.169	0.637	0.363	-0.000	0.133481	0.133481
39	45.000	66.432	0.705	0.295	-0.000	0.110957	0.110957
72	45.000	66.481	0.631	0.369	0.000	0.136828	0.136828
5	45.000	66.794	0.698	0.302	-0.000	0.114357	0.114357
12	45.000	66.973	0.726	0.274	0.000	0.105125	0.105125
47	45.000	67.628	0.688	0.312	0.000	0.120236	0.120236
74	45.000	67.881	0.732	0.268	-0.000	0.104899	0.104899
89	45.000	67.980	0.732	0.268	0.000	0.105291	0.105291
29	45.000	68.178	0.733	0.267	0.000	0.105319	0.105319
44	45.000	68.244	0.733	0.267	0.000	0.105525	0.105525
65	45.000	68.270	0.698	0.302	-0.000	0.118381	0.118381
14	45.000	68.497	0.731	0.269	-0.000	0.106832	0.106832
81	45.000	68.502	0.703	0.297	0.000	0.117169	0.117169
59	45.000	68.541	0.731	0.269	-0.000	0.107072	0.107072
8	45.000	69.044	0.704	0.296	0.000	0.118045	0.118045
83	45.000	69.536	0.700	0.300	0.000	0.120778	0.120778
61	45.000	70.043	0.724	0.276	0.000	0.11291	0.11291
23	45.000	70.248	0.699	0.301	0.000	0.123148	0.123148
6	45.000	70.408	0.701	0.299	0.000	0.122816	0.122816
76	45.000	70.483	0.732	0.268	-0.000	0.11125	0.11125
34	45.000	70.522	0.698	0.302	-0.000	0.123905	0.123905
16	45.000	70.626	0.733	0.267	-0.000	0.111155	0.111155
7	45.000	70.840	0.698	0.302	-0.000	0.124795	0.124795
53	45.000	70.912	0.699	0.301	-0.000	0.124622	0.124622
31	45.000	71.152	0.731	0.269	-0.000	0.113057	0.113057
20	45.000	71.262	0.694	0.306	-0.000	0.127495	0.127495
1	45.000	71.378	0.728	0.272	-0.000	0.114671	0.114671
49	45.000	71.442	0.695	0.305	-0.000	0.12739	0.12739
82	45.000	71.454	0.697	0.303	0.000	0.12671	0.12671
22	45.000	71.464	0.628	0.372	-0.000	0.153649	0.153649
46	45.000	71.814	0.728	0.272	0.000	0.115458	0.115458
38	45.000	72.244	0.699	0.301	-0.000	0.127909	0.127909
35	45.000	72.356	0.699	0.301	0.000	0.128232	0.128232
64	45.000	72.773	0.619	0.381	0.000	0.161097	0.161097
68	45.000	73.386	0.696	0.304	0.000	0.131975	0.131975
33	45.000	73.992	0.690	0.310	0.000	0.135852	0.135852
57	45.000	74.361	0.703	0.297	0.000	0.13142	0.13142
42	45.000	74.425	0.709	0.291	0.000	0.129082	0.129082
51	45.000	74.936	0.696	0.304	0.000	0.135739	0.135739
69	45.000	75.746	0.692	0.308	-0.000	0.139757	0.139757
